Date,Close
01/10/2012,33.21
02/10/2012,33.44
03/10/2012,33.13
04/10/2012,33.83
05/10/2012,33.69
08/10/2012,33.26
09/10/2012,33.42
10/10/2012,32.89
11/10/2012,33.05
12/10/2012,32.98
15/10/2012,33.02
16/10/2012,33.56
17/10/2012,34.33
18/10/2012,34.32
19/10/2012,33.99
22/10/2012,33.56
23/10/2012,32.87
24/10/2012,32.91
25/10/2012,33.33
26/10/2012,33.19
31/10/2012,33.62
01/11/2012,34.78
02/11/2012,34.83
05/11/2012,34.57
06/11/2012,34.83
07/11/2012,33.78
08/11/2012,33.27
09/11/2012,33.19
12/11/2012,33.37
13/11/2012,32.48
14/11/2012,31.73
15/11/2012,31.62
16/11/2012,31.47
19/11/2012,32.71
20/11/2012,32.97
21/11/2012,33.29
23/11/2012,33.92
26/11/2012,33.54
27/11/2012,33.08
28/11/2012,32.96
29/11/2012,33.08
30/11/2012,32.61
03/12/2012,32.48
04/12/2012,32.45
05/12/2012,32.97
06/12/2012,32.79
07/12/2012,32.5
10/12/2012,32.49
11/12/2012,32.53
12/12/2012,32.7
13/12/2012,32.13
14/12/2012,32.41
17/12/2012,32.66
18/12/2012,33.17
19/12/2012,33.02
20/12/2012,33.11
21/12/2012,32.88
24/12/2012,32.7
26/12/2012,32.7
27/12/2012,32.73
28/12/2012,32.27
31/12/2012,32.98
02/01/2013,33.9
03/01/2013,33.74
04/01/2013,33.97
07/01/2013,33.65
08/01/2013,33.55
09/01/2013,33.75
10/01/2013,34.14
11/01/2013,34.02
14/01/2013,34.35
15/01/2013,34.45
16/01/2013,34.31
17/01/2013,34.46
18/01/2013,34
22/01/2013,34.39
23/01/2013,34.04
24/01/2013,34.02
25/01/2013,34.14
28/01/2013,34.28
29/01/2013,34.4
30/01/2013,34.27
31/01/2013,34.02
01/02/2013,34.53
04/02/2013,34.21
05/02/2013,34.53
06/02/2013,32.73
07/02/2013,32.3
08/02/2013,32.19
11/02/2013,32.32
12/02/2013,32.53
13/02/2013,32.66
14/02/2013,32.16
15/02/2013,31.59
19/02/2013,31.78
20/02/2013,31.38
21/02/2013,30.92
22/02/2013,31.27
25/02/2013,30.56
26/02/2013,30.13
27/02/2013,30.33
28/02/2013,30.25
01/03/2013,30.09
04/03/2013,29.83
05/03/2013,30.02
06/03/2013,30.32
07/03/2013,30.6
08/03/2013,30.56
11/03/2013,30.76
12/03/2013,30.82
13/03/2013,30.35
14/03/2013,30.83
15/03/2013,31.1
18/03/2013,30.38
19/03/2013,30.2
20/03/2013,30.26
21/03/2013,30.19
22/03/2013,30.28
25/03/2013,30.1
26/03/2013,30.2
27/03/2013,29.89
28/03/2013,30.01
01/04/2013,30.32
02/04/2013,30.75
03/04/2013,29.73
04/04/2013,28.91
05/04/2013,28.78
08/04/2013,28.44
09/04/2013,29.36
10/04/2013,29.68
11/04/2013,29.36
12/04/2013,28.43
15/04/2013,26.84
16/04/2013,27.83
17/04/2013,27.26
18/04/2013,27.61
19/04/2013,27.4
22/04/2013,27.9
23/04/2013,28.13
24/04/2013,28.84
25/04/2013,28.97
26/04/2013,28.8
29/04/2013,29.27
30/04/2013,31.15
01/05/2013,30.37
02/05/2013,30.56
03/05/2013,30.86
06/05/2013,30.59
07/05/2013,31.31
08/05/2013,31.99
09/05/2013,31.7
10/05/2013,31.69
13/05/2013,31.73
14/05/2013,31.87
15/05/2013,31.67
16/05/2013,31.51
17/05/2013,32
20/05/2013,32.36
21/05/2013,31.97
22/05/2013,31.31
23/05/2013,31.4
24/05/2013,30.95
28/05/2013,31.12
29/05/2013,31.43
30/05/2013,31.34
31/05/2013,30.31
03/06/2013,30.51
04/06/2013,30.72
05/06/2013,30.49
06/06/2013,30.78
07/06/2013,31.04
10/06/2013,31.21
11/06/2013,30.49
12/06/2013,30.26
13/06/2013,30.79
14/06/2013,30.43
17/06/2013,30.7
18/06/2013,31.06
19/06/2013,30.67
20/06/2013,29.75
21/06/2013,29.52
24/06/2013,28.98
25/06/2013,28.9
26/06/2013,29.09
27/06/2013,29.5
28/06/2013,29.49
01/07/2013,29.49
02/07/2013,29.55
03/07/2013,29.64
05/07/2013,29.49
08/07/2013,29.92
09/07/2013,30.38
10/07/2013,30.56
11/07/2013,31.72
12/07/2013,31.2
15/07/2013,31
16/07/2013,31.27
17/07/2013,31.34
18/07/2013,31.38
19/07/2013,31.81
22/07/2013,31.96
23/07/2013,32.3
24/07/2013,31.83
25/07/2013,31.95
26/07/2013,31.77
29/07/2013,31.84
30/07/2013,31.73
31/07/2013,31.63
01/08/2013,32.57
02/08/2013,32.62
05/08/2013,32.6
06/08/2013,32.38
07/08/2013,32.04
08/08/2013,32.08
09/08/2013,32.26
12/08/2013,32.15
13/08/2013,32.01
14/08/2013,32.72
15/08/2013,33.94
16/08/2013,34.18
19/08/2013,33.78
20/08/2013,33.57
21/08/2013,33.27
22/08/2013,33.65
23/08/2013,34.31
26/08/2013,34.06
27/08/2013,34.47
28/08/2013,34.79
29/08/2013,34.3
30/08/2013,33.87
03/09/2013,34.36
04/09/2013,34.16
05/09/2013,34.54
06/09/2013,35.22
09/09/2013,35.45
10/09/2013,35.25
11/09/2013,35.62
12/09/2013,36.09
13/09/2013,36.15
16/09/2013,36.07
17/09/2013,35.94
18/09/2013,36.58
19/09/2013,36.13
20/09/2013,35.9
23/09/2013,36.12
24/09/2013,35.56
25/09/2013,35.97
26/09/2013,36.26
27/09/2013,36.26
30/09/2013,35.78
01/10/2013,35.98
02/10/2013,35.64
03/10/2013,35.11
04/10/2013,35.65
07/10/2013,35.48
08/10/2013,34.55
09/10/2013,34.86
10/10/2013,35.44
11/10/2013,35.56
14/10/2013,35.78
15/10/2013,35.75
16/10/2013,36.22
17/10/2013,36.33
18/10/2013,36.65
21/10/2013,36.66
22/10/2013,36.5
23/10/2013,35.31
24/10/2013,35.56
25/10/2013,35.99
28/10/2013,35.9
29/10/2013,36.27
30/10/2013,36.17
31/10/2013,36.35
01/11/2013,35.22
04/11/2013,35.18
05/11/2013,35.08
06/11/2013,35.21
07/11/2013,34.49
08/11/2013,35.23
11/11/2013,35.16
12/11/2013,34.82
13/11/2013,35.6
14/11/2013,35.67
15/11/2013,35.78
18/11/2013,35.59
19/11/2013,35.65
20/11/2013,36.24
21/11/2013,36.1
22/11/2013,36.02
25/11/2013,35.32
26/11/2013,34.84
27/11/2013,34.51
29/11/2013,34.68
02/12/2013,34.68
03/12/2013,35.31
04/12/2013,34.75
05/12/2013,34.1
06/12/2013,33.56
09/12/2013,33.68
10/12/2013,34.04
11/12/2013,33.55
12/12/2013,33.84
13/12/2013,33.77
16/12/2013,34.03
17/12/2013,33.5
18/12/2013,34.14
19/12/2013,34.2
20/12/2013,34.08
23/12/2013,34.61
24/12/2013,34.77
26/12/2013,34.88
27/12/2013,34.79
30/12/2013,34.68
31/12/2013,35.05
02/01/2014,34.46
03/01/2014,34.36
06/01/2014,34.3
07/01/2014,34.53
08/01/2014,34.7
09/01/2014,34.36
10/01/2014,34.78
13/01/2014,34.32
14/01/2014,34.06
15/01/2014,34.11
16/01/2014,34.33
17/01/2014,34.09
21/01/2014,34.16
22/01/2014,34.26
23/01/2014,34.07
24/01/2014,33.31
27/01/2014,32.65
28/01/2014,32.93
29/01/2014,32.61
30/01/2014,32.65
31/01/2014,32.83
03/02/2014,32.07
04/02/2014,31.65
05/02/2014,31.78
06/02/2014,32.34
07/02/2014,32.83
10/02/2014,32.7
11/02/2014,32.74
12/02/2014,32.91
13/02/2014,33.51
14/02/2014,33.4
18/02/2014,33.44
19/02/2014,33.34
20/02/2014,33.08
21/02/2014,32.93
24/02/2014,33.36
25/02/2014,33.28
26/02/2014,33.08
27/02/2014,33.06
28/02/2014,33.04
03/03/2014,33.06
04/03/2014,33.1
05/03/2014,32.94
06/03/2014,33.24
07/03/2014,33.29
10/03/2014,33.3
11/03/2014,32.8
12/03/2014,33.06
13/03/2014,32.78
14/03/2014,32.68
17/03/2014,32.68
18/03/2014,32.63
19/03/2014,32.49
20/03/2014,32.44
21/03/2014,32.56
24/03/2014,32.89
25/03/2014,33.07
26/03/2014,33.02
27/03/2014,33.72
28/03/2014,34.53
31/03/2014,34.96
01/04/2014,34.95
02/04/2014,35.49
03/04/2014,35.5
04/04/2014,35.97
